Company,Industry,Region,Year,Company Report,Recommended Disclosure,Report URL
A.P. Moller-Maersk Group,Transportation,Europe,2017,"2017 Sustainability Report, p. 21",Risk Management a),https://www.maersk.com/~/media_sc9/maersk/corporate/sustainability/files/resources/2017/apmm-sustainability-report-a4_2017.pdf
AES,Energy,North America,2018,"AES Climate Scenario Report, p. 6-7",Strategy c),https://www.aes.com/sites/default/files/2021-02/AES_Climate_Scenario_Report111318_FINAL_PUBLISHED.pdf#page=6
Aker BP,Energy,Europe,2020,"Sustainability Report 2020, p. 25",Metrics and Targets a),https://mb.cision.com/Public/1629/3313545/bdef52ed4fde0572.pdf#page=25
Allianz Group,Insurance; Asset Manager,Europe,2020,"Sustainability Report 2020, p. 85",Strategy c),https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/sustainability/documents/Allianz_Group_Sustainability_Report_2020-web.pdf#page=86
Allianz Group,Insurance; Asset Manager,Europe,2019,"Sustainability Report 2019, p. 75",Risk Management a); Risk Management b),https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/sustainability/documents/Allianz_Group_Sustainability_Report_2019-web.pdf#page=76
Allianz Group,Asset Manager,Europe,2019,"Sustainability Report 2019, pp. 82 and 88",Metrics and Targets c),https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/sustainability/documents/Allianz_Group_Sustainability_Report_2019-web.pdf#page=83
Allianz Group,Insurance; Asset Manager,Europe,2019,"Allianz Group Sustainability Report 2017, p. 86",Governance a); Governance b),https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/responsibility/documents/Allianz_Group_Sustainability_Report_2017-web.pdf#page=86
Amundi,Asset Manager,Europe,2017,"Registration Document 2017, p. 114",Metrics and Targets b),https://about.amundi.com/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_00018e46-bc49-4dae-8d69-d9fa07433066
ANZ (Australia and New Zealand Banking Group Limited),Banking,Asia Pacific,2019,"2019 Climate-Related Financial Disclosures, p. 5",Risk Management a); Risk Management b),https://www.anz.com/content/dam/anzcom/shareholder/ANZ-2019-Climate-related-Financial-Disclosures.pdf#page=5
ANZ (Australia and New Zealand Banking Group Limited),Banking,Asia Pacific,2017,"2017 Annual Review, pp. 26-27",Strategy c); Metrics and Targets c),https://www.anz.com.au/content/dam/anzcom/shareholder/2017_anz_annual_review_asx_web_v2.pdf#page=26
