question,text,label
Does the company describe its processes for identifying and/or assessing climate-related risks?,"We communicate regularly with issue experts in the International Maritime Organisation and other UN agencies, as well as national agencies, for example, the Danish Institute of Human Rights.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"We are also in regular contact with non-governmental organisations such as Oxfam IBIS, Action Aid, and Transparency International, universities and think tanks, just as we respond to questionnaires and surveys from investors and ranking agencies.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"As a global provider of transport and logistics services, we are often called on for expert input and industry insights by government representatives.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Locally, our representatives are in dialogue with governments and authorities as part of the ongoing interaction between authorities and the business community.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,Consistency in position and messages is a key concept in our work.,Risk Management a)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?","Further declines in the cost of renewables and, in some scenarios, the impact of high carbon pricing leads to the retirement of most of our thermal assets by 2040. The stress test conclusion is that our corporate strategy is resilient across the three scenarios.",Strategy c)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?","We ultimately selected the International Energy Agency’s (IEA) 2017 World Energy Outlook (WEO) for transition risk scenarios, and for physical risk scenarios, we selected the Representative Concentration Pathways (RCPs) established by the Intergovernmental Panel on Climate Change’s (IPCC) Fifth Assessment Report (AR5).",Strategy c)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?","Our climate resilience stress test is fundamentally an in-depth financial analysis assessing the sensitivity of gross margin across our entire business – from every individual plant, up through to our strategic business units. Our effort was guided by a steering group consisting of members from our financial planning and analysis, corporate risk and strategy, sustainability, legal, operations and other teams.",Strategy c)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?","Given our modest exposure to direct carbon risk and our pivot toward Clean Energy Growth Platforms, transition risk can enhance our upside potential.",Strategy c)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?",The scenarios highlight the upside growth exposure our platforms create as we take or maintain leading market positions that are directly aligned with technologies required to unlock a low-carbon economy.,Strategy c)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"This target  is reflected in Aker BP’s planning assumptions, which show  an increase in both the EUA and national carbon tax over  the next 10 years, reaching the targeted level set by the Government for 2030.",Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,Aker BP’s carbon  price assumptions are significantly higher than the prices  assumed in the IEA’s scenarios.,Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"As regards carbon prices, Aker BP’s internal assumptions  significantly exceed prices assumed under the IEA’s  scenarios.",Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"Aker BP’s assumed carbon price reaches USD  235/tCO2 in 2030, assumed flat thereafter.",Metrics and Targets a)
Does the company disclose the metrics it uses to assess climate-related risks or opportunities?,"The analysis shows that, even under the most ambitious  energy transition scenarios, the impact on our portfolio value  is limited to 12 percent.",Metrics and Targets a)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?","Internal analysis shows that our proprietary investment portfolio, and especially the listed equity asset class, is most sensitive to climate transition scenarios.",Strategy c)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?","Due to this finding, we have further analyzed our risk exposure through macroeconomic research and a dedicated first carbon stress test.",Strategy c)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?",With that we combine complementary top-down with bottom-up approaches. (see section 05.4 for carbon stress test results).,Strategy c)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?","The findings of this macroeconomic analysis have also been used for internal analysis, for example on the proprietary investment portfolio.",Strategy c)
"Does the company describe the resilience of its strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario?","Assets and business impact under transition scenarios (source: Allianz, excerpt)",Strategy c)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Another instrument is the yearly Top Risk Assessment with the goal to identify and remediate significant threats to financial results, operational viability, reputation and the delivery of key strategic objectives, regardless of whether they can be quantified or not. Climate-related factors are included in Top Risk Assessments conducted both on the level of operating entities as well as the Group. For more details on these risk management processes please see the Risk and Opportunity Report on page 76-92. of the Allianz Group Annual Report 2019.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Climate-related risks are addressed as part of an overarching qualitative and quantitative risk reporting and controlling framework. Early-warning indicators are monitored and regularly reported to senior management through risk dashboards, risk capital allocation and limit consumption reports, where climate aspects become material.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Experts at Allianz Reinsurance – including meteorologists, hydrologists, geophysicists, geographers and mathematicians – model around 50 natural catastrophe scenarios for Allianz Group, with data captured using best-in-class standards, mapping a range of perils and regions. The results provide the basis for group-wide risk monitoring, risk limits and subsequent business decisions.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"Our natural catastrophe models are regularly updated according to newest scientific information. We are continuously improving the inclusion of global natural catastrophe hazard information, including climate, into underwriting decisions.",Risk Management a)
Does the company describe its processes for identifying and/or assessing climate-related risks?,"As an additional layer, building on the explanations in the Governance chapter, the Climate Integration team within the Corporate Responsibility department as well as the ESG Task Forces work on early identification, measurement and business integration of risks as well as of opportunities arising from physical climate change and the low-carbon transition.",Risk Management a)
